Save Review,Save Review
Answer was successfully saved,Answer was successfully saved
Delete Search,Delete Search
New Poll,New Poll
"Please, select Rate","Please, select Rate"
Save Role,Save Role
All rates were imported,All rates were imported
Reviews,Reviews
Edit Invoice,Edit Invoice
Multiple Select,Multiple Select
Visible,Visible
Rating,Rating
Template Name,Template Name
Product Type,Product Type
Please select a customer,Please select a customer
Tax rate was successfully deleted,Tax rate was successfully deleted
Free ground shipping,Free ground shipping
Default price,Default price
Disabled,Disabled
No description,No description
Delete Tag,Delete Tag
Product saved,Product saved
Please select a store,Please select a store
This rule no longer exists,This rule no longer exists
This rule no longer exists,This rule no longer exists
Ratings,Ratings
Save Currency,Save Currency
Ship to Last name,Ship to Last name
Add New Search,Add New Search
Delete Poll,Delete Poll
Priority,Priority
Product Reviews,Product Reviews
Invoice was not charged,Invoice was not charged
Sent,Sent
Assigned Options,Assigned Options
Tax rule was successfully saved,Tax rule was successfully saved
IP Address,IP Address
Settings,Settings
Queue Subject,Queue Subject
Add New Category,Add New Category
Inactive,Inactive
Add New Customer,Add New Customer
Apply To Configurable/Grouped Product,Apply To Configurable/Grouped Product
Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')
Customer was deleted,Customer was deleted
Please fill in 'email' field.,Please fill in 'email' field.
Qty Cancelled,Qty Cancelled
Sending,Sending
Searchable on Front-end,Searchable on Front-end
Duplicate,Duplicate
Wrong tab configuration,Wrong tab configuration
Add New Page,Add New Page
"Edit ""%s""","Edit ""%s"""
Submit Invoice,Submit Invoice
Product duplicated,Product duplicated
Delete Role,Delete Role
Identifier,Identifier
Poll Answers,Poll Answers
Wishlists,Wishlists
Last Url,Last Url
Edit Block '%s',Edit Block '%s'
Tax Rule Information,Tax Rule Information
Edit Class Details,Edit Class Details
Rule was successfully deleted,Rule was successfully deleted
Attribute Set,Attribute Set
Customer View,Customer View
Sender Email,Sender Email
Products Tags,Products Tags
HTTP (unsecure),HTTP (unsecure)
Add Option,Add Option
Shipping Price,Shipping Price
Edit Website '%s',Edit Website '%s'
Create New Customer,Create New Customer
Edit Newsletter,Edit Newsletter
# of Uses,# of Uses
Number of times deleted,Number of times deleted
Newsletter Finish,Newsletter Finish
Closed,Closed
Edit Page '%s',Edit Page '%s'
Product deleted,Product deleted
Preview,Preview
Save Attribute Set,Save Attribute Set
Store was successfully saved,Store was successfully saved
You have not enought permissions to login.,You have not enought permissions to login.
Product Attributes,Product Attributes
Return Html Version,Return Html Version
Save Order,Save Order
